gen,nama_makanan,jumlah_kalori
0000,Apple,95
0001,Apricot,17
0010,Avocado,320
0011,Banana,111
0100,Cantaloupe,23
0101,Clementine,35
0110,Guava,37
0111,Jackfruit,143
1000,Jujube,22
1001,Lemon,17
1010,Lime,20
1011,Mango,202
1100,Nectarine,66
1101,Orange,62
1110,Papaya,215
1111,Peach,59
010000,Pear,101
010001,Persimmon,32
010010,Pineapple,453
010011,Plum,30
010100,Pomegranate,234
010101,Quince,52
010110,Tamarind,5
010111,Tangerine,47
011000,Watermelon,86
011001,Acerola,1
011010,Avocado,320
011011,Banana,111
011100,Breadfruit,99
011101,Durian,885
011110,Feijoa,23
011111,Grapefruit,52
100000,Guava,37
100001,Honeydew,45
100010,Jackfruit,143
100011,Kumquat,13
100100,Lychee,7
100101,Mango,202
100110,Mangosteen,58
100111,Pineapple,453
101000,Plantain,218
101001,Pomegranate,234
101010,Pomelo,231
101011,Tamarind,5
101100,Watermelon,86
